date,snapshot_type,security,jq_quantity,alignment_status
2026-05-26,END_OF_DAY,301098.XSHE,9400,JQ_POSITION
2026-05-26,END_OF_DAY,301167.XSHE,5800,JQ_POSITION
2026-05-26,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-05-26,END_OF_DAY,600493.XSHG,11000,JQ_POSITION
2026-05-26,END_OF_DAY,600561.XSHG,14600,JQ_POSITION
2026-05-26,END_OF_DAY,600697.XSHG,8100,JQ_POSITION
2026-05-26,END_OF_DAY,603879.XSHG,3600,JQ_POSITION
2026-05-27,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-27,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-05-27,END_OF_DAY,300535.XSHE,4300,JQ_POSITION
2026-05-27,END_OF_DAY,300605.XSHE,1600,JQ_POSITION
2026-05-27,END_OF_DAY,300665.XSHE,3900,JQ_POSITION
2026-05-27,END_OF_DAY,300929.XSHE,7300,JQ_POSITION
2026-05-27,END_OF_DAY,301098.XSHE,9400,JQ_POSITION
2026-05-27,END_OF_DAY,301167.XSHE,5900,JQ_POSITION
2026-05-27,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-05-27,END_OF_DAY,600493.XSHG,14000,JQ_POSITION
2026-05-27,END_OF_DAY,600561.XSHG,14700,JQ_POSITION
2026-05-27,END_OF_DAY,600697.XSHG,8200,JQ_POSITION
2026-05-27,END_OF_DAY,603879.XSHG,7200,JQ_POSITION
2026-05-28,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-28,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-05-28,END_OF_DAY,300535.XSHE,4300,JQ_POSITION
2026-05-28,END_OF_DAY,300605.XSHE,1600,JQ_POSITION
2026-05-28,END_OF_DAY,300665.XSHE,3900,JQ_POSITION
2026-05-28,END_OF_DAY,300929.XSHE,7300,JQ_POSITION
2026-05-28,END_OF_DAY,301098.XSHE,9400,JQ_POSITION
2026-05-28,END_OF_DAY,301167.XSHE,5900,JQ_POSITION
2026-05-28,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-05-28,END_OF_DAY,600493.XSHG,14000,JQ_POSITION
2026-05-28,END_OF_DAY,600561.XSHG,14700,JQ_POSITION
2026-05-28,END_OF_DAY,600697.XSHG,8200,JQ_POSITION
2026-05-28,END_OF_DAY,603879.XSHG,7200,JQ_POSITION
2026-05-29,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-29,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-05-29,END_OF_DAY,300535.XSHE,4300,JQ_POSITION
2026-05-29,END_OF_DAY,300605.XSHE,1600,JQ_POSITION
2026-05-29,END_OF_DAY,300665.XSHE,3900,JQ_POSITION
2026-05-29,END_OF_DAY,300929.XSHE,7300,JQ_POSITION
2026-05-29,END_OF_DAY,301098.XSHE,9400,JQ_POSITION
2026-05-29,END_OF_DAY,301167.XSHE,5900,JQ_POSITION
2026-05-29,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-05-29,END_OF_DAY,600493.XSHG,14000,JQ_POSITION
2026-05-29,END_OF_DAY,600561.XSHG,14700,JQ_POSITION
2026-05-29,END_OF_DAY,600697.XSHG,8200,JQ_POSITION
2026-05-29,END_OF_DAY,603879.XSHG,7200,JQ_POSITION
2026-06-01,END_OF_DAY,300405.XSHE,2900,JQ_POSITION
2026-06-01,END_OF_DAY,300417.XSHE,5500,JQ_POSITION
2026-06-01,END_OF_DAY,300535.XSHE,5500,JQ_POSITION
2026-06-01,END_OF_DAY,300605.XSHE,3200,JQ_POSITION
2026-06-01,END_OF_DAY,300665.XSHE,1900,JQ_POSITION
