date,security,side,jq_quantity,jq_price,local_filled_quantity,local_filled_price,order_intent_buy_target,order_intent_sell_target,rejection_reason,alignment
2026-06-17,300605.XSHE,sell,1600,10.46,0,,,,,LOCAL=0
2026-06-17,300886.XSHE,buy,700,22.26,0,,,,,LOCAL=0
2026-06-17,300417.XSHE,buy,100,11.44,0,,,,limit down,LOCAL=0
2026-06-17,300405.XSHE,buy,2700,6.0,0,,,,limit down,LOCAL=0
2026-06-23,301098.XSHE,sell,200,8.82,0,,,,limit down,LOCAL=0
2026-06-23,300929.XSHE,sell,200,11.3,0,,,,limit down,LOCAL=0
2026-06-23,300417.XSHE,buy,100,11.11,0,,,,limit down,LOCAL=0
2026-06-23,300405.XSHE,buy,700,5.78,0,,,,limit down,LOCAL=0
2026-06-23,300535.XSHE,sell,100,14.82,0,,,,limit down,LOCAL=0
2026-06-23,603879.XSHG,sell,3300,4.61,0,,,,limit down,LOCAL=0
2026-06-23,300605.XSHE,sell,1600,10.35,0,,,,,LOCAL=0
2026-06-23,300886.XSHE,buy,100,21.69,0,,,,,LOCAL=0
2026-06-23,600493.XSHG,buy,200,5.76,0,,,,limit down,LOCAL=0
2026-06-23,300405.XSHE,buy,2300,5.78,0,,,,limit down,LOCAL=0
2026-06-23,600697.XSHG,buy,1500,10.32,0,,,,limit down,LOCAL=0
