date,event_time,security,previous_close,open,high,low,close,high_limit,low_limit,engine_rejection_reason,jq_trade_quantity,jq_trade_price,jq_trade_time
2026-06-05,14:00,600455.XSHG,24.979999542236328,24.989999771118164,25.649999618530273,24.1200008392334,25.299999237060547,27.48,22.48,limit down,0,,
2026-06-05,14:00,300929.XSHE,11.609999656677246,11.59000015258789,12.149999618530273,11.300000190734863,11.90999984741211,13.93,9.290000000000001,limit down,0,,
2026-06-05,14:00,300417.XSHE,12.399999618530273,12.050000190734863,12.979999542236328,11.899999618530273,12.649999618530273,14.88,9.92,limit down,0,,
2026-06-05,14:00,300405.XSHE,6.119999885559082,6.079999923706055,6.460000038146973,5.900000095367432,6.289999961853027,7.34,4.9,limit down,0,,
2026-06-05,14:00,600561.XSHG,5.75,5.75,5.980000019073486,5.610000133514404,5.880000114440918,6.32,5.18,limit down,0,,
2026-06-05,14:00,301167.XSHE,14.380000114440918,14.40999984741211,14.920000076293945,14.050000190734863,14.899999618530273,17.26,11.5,limit down,0,,
2026-06-05,14:00,600697.XSHG,10.930000305175781,10.979999542236328,11.449999809265137,10.9399995803833,11.3100004196167,12.02,9.84,limit down,0,,
2026-06-05,14:00,300500.XSHE,10.510000228881836,10.5,10.850000381469727,10.199999809265137,10.670000076293945,12.61,8.41,limit down,0,,
2026-06-05,14:00,600493.XSHG,6.239999771118164,6.360000133514404,6.389999866485596,6.079999923706055,6.320000171661377,6.86,5.62,limit down,0,,
2026-06-05,14:00,300535.XSHE,15.34000015258789,15.380000114440918,15.970000267028809,14.899999618530273,15.880000114440918,18.41,12.27,limit down,0,,
2026-06-05,14:00,603879.XSHG,4.920000076293945,4.900000095367432,5.050000190734863,4.78000020980835,4.989999771118164,5.41,4.43,limit down,0,,
2026-06-08,14:00,301098.XSHE,8.5,8.329999923706055,8.550000190734863,7.929999828338623,8.15999984741211,10.200000000000001,6.8,limit down,0,,
2026-06-08,14:00,600455.XSHG,25.299999237060547,24.450000762939453,25.75,24.299999237060547,25.09000015258789,27.830000000000002,22.77,limit down,0,,
2026-06-08,14:00,300929.XSHE,11.90999984741211,11.829999923706055,11.949999809265137,11.079999923706055,11.449999809265137,14.290000000000001,9.53,limit down,0,,
2026-06-08,14:00,300417.XSHE,12.649999618530273,12.3100004196167,12.680000305175781,11.640000343322754,12.100000381469727,15.18,10.120000000000001,limit down,0,,
2026-06-08,14:00,300405.XSHE,6.289999961853027,6.28000020980835,6.389999866485596,5.849999904632568,5.989999771118164,7.55,5.03,limit down,0,,
2026-06-08,14:00,600561.XSHG,5.880000114440918,5.739999771118164,5.929999828338623,5.590000152587891,5.650000095367432,6.47,5.29,limit down,0,,
2026-06-08,14:00,301167.XSHE,14.899999618530273,14.609999656677246,14.979999542236328,14.100000381469727,14.34000015258789,17.88,11.92,limit down,0,,
2026-06-08,14:00,600697.XSHG,11.3100004196167,10.930000305175781,11.550000190734863,10.880000114440918,11.09000015258789,12.44,10.18,limit down,0,,
2026-06-08,14:00,300500.XSHE,10.670000076293945,10.5600004196167,10.960000038146973,10.289999961853027,10.489999771118164,12.8,8.540000000000001,limit down,0,,
2026-06-08,14:00,600493.XSHG,6.320000171661377,6.199999809265137,6.400000095367432,6.019999980926514,6.130000114440918,6.95,5.69,limit down,0,,
2026-06-08,14:00,300535.XSHE,15.880000114440918,15.449999809265137,16.0,14.859999656677246,15.130000114440918,19.06,12.700000000000001,limit down,0,,
2026-06-08,14:00,603879.XSHG,4.989999771118164,4.889999866485596,5.059999942779541,4.710000038146973,4.800000190734863,5.49,4.49,limit down,0,,
2026-06-09,14:00,301098.XSHE,8.15999984741211,8.260000228881836,9.789999961853027,7.929999828338623,9.380000114440918,9.790000000000001,6.53,limit down,200,8.26,09:30:00
2026-06-09,14:00,600455.XSHG,25.09000015258789,24.479999542236328,25.280000686645508,24.459999084472656,24.799999237060547,27.6,22.580000000000002,limit down,0,,
2026-06-09,14:00,300929.XSHE,11.449999809265137,11.449999809265137,11.649999618530273,11.220000267028809,11.5,13.74,9.16,limit down,0,,
2026-06-09,14:00,300417.XSHE,12.100000381469727,12.210000038146973,12.449999809265137,11.899999618530273,12.039999961853027,14.52,9.68,limit down,0,,
