date,gross_value,net_value,cum_cost,daily_trade_value
2022-08-18,3100803.1900000013,2903847.830500001,196955.35950000005,116888.0
2022-08-19,3068437.350000001,2870934.421500001,197502.92850000004,182523.0
2022-08-22,3082328.350000001,2884825.421500001,197502.92850000004,0.0
2022-08-23,3091402.350000001,2893899.421500001,197502.92850000004,0.0
2022-08-24,3011836.370000001,2813486.340500001,198350.02950000003,282367.0
2022-08-25,3008347.370000001,2809997.340500001,198350.02950000003,0.0
2022-08-26,2989044.370000001,2790694.340500001,198350.02950000003,0.0
2022-08-29,3032881.4900000016,2834161.2455000016,198720.24450000003,123405.0
2022-08-30,3064192.4900000016,2865472.2455000016,198720.24450000003,0.0
2022-08-31,3006965.4900000016,2808245.2455000016,198720.24450000003,0.0
2022-09-01,3029928.0300000017,2830289.8845000016,199638.14550000004,305967.0
2022-09-02,3074010.0300000017,2874371.8845000016,199638.14550000004,0.0
2022-09-05,3102717.0300000017,2903078.8845000016,199638.14550000004,0.0
2022-09-06,3098406.3000000017,2897251.5885000015,201154.71150000003,505522.0
2022-09-07,3090001.3000000017,2888846.5885000015,201154.71150000003,0.0
2022-09-08,3064943.3000000017,2863788.5885000015,201154.71150000003,0.0
2022-09-09,3031325.850000001,2829045.532500001,202280.31750000003,375202.0
2022-09-13,3091375.850000001,2889095.532500001,202280.31750000003,0.0
2022-09-14,3081348.850000001,2879068.532500001,202280.31750000003,0.0
2022-09-15,3031579.100000001,2828119.323500001,203459.77650000004,393153.0
2022-09-16,2927009.100000001,2723549.323500001,203459.77650000004,0.0
2022-09-19,2892501.100000001,2689041.323500001,203459.77650000004,0.0
2022-09-20,2929525.120000001,2724695.486500001,204829.63350000003,456619.0
2022-09-21,2965305.120000001,2760475.486500001,204829.63350000003,0.0
2022-09-22,2949523.120000001,2744693.486500001,204829.63350000003,0.0
2022-09-23,2888216.1300000018,2682150.8625000017,206065.26750000002,411878.0
2022-09-26,2815079.1300000018,2609013.8625000017,206065.26750000002,0.0
2022-09-27,2900048.1300000018,2693982.8625000017,206065.26750000002,0.0
2022-09-28,2864612.4400000013,2657795.930500001,206816.50950000001,250414.0
2022-09-29,2848450.4400000013,2641633.930500001,206816.50950000001,0.0
2022-09-30,2833704.4400000013,2626887.930500001,206816.50950000001,0.0
2022-10-10,2785403.620000001,2577558.809500001,207844.81050000002,342767.0
2022-10-11,2793386.620000001,2585541.809500001,207844.81050000002,0.0
2022-10-12,2851040.620000001,2643195.809500001,207844.81050000002,0.0
2022-10-13,2893976.0300000017,2685030.090500002,208945.9395,367043.0
2022-10-14,2927389.0300000017,2718443.090500002,208945.9395,0.0
2022-10-17,2992537.0300000017,2783591.090500002,208945.9395,0.0
2022-10-18,3004307.4000000013,2794923.1215000013,209384.27850000001,146113.0
2022-10-19,2983738.4000000013,2774354.1215000013,209384.27850000001,0.0
2022-10-20,2982446.4000000013,2773062.1215000013,209384.27850000001,0.0
2022-10-21,3016794.2200000016,2805969.9175000014,210824.30250000002,480008.0
2022-10-24,2951710.2200000016,2740885.9175000014,210824.30250000002,0.0
2022-10-25,2906954.2200000016,2696129.9175000014,210824.30250000002,0.0
