date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2025-03-14,0,600421.XSHG,buy,3200.0,3200.0,0.0,6.52,6.52,0.0,20864.0,20864.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-14,0,600768.XSHG,sell,2100.0,2100.0,0.0,9.56,9.56,0.0,-20076.0,20076.0,-40152.0,25.08,5.0,20.08,0,0,0,exact_match,none,A
2025-03-14,0,603813.XSHG,sell,1500.0,1500.0,0.0,14.9,14.9,0.0,-22350.0,22350.0,-44700.0,27.35,5.0,22.35,0,0,0,exact_match,none,A
2025-03-14,0,605081.XSHG,sell,300.0,300.0,0.0,10.49,10.49,0.0,-3147.0,3147.0,-6294.0,8.15,5.0,3.1500000000000004,0,0,0,exact_match,none,A
2025-03-19,0,000691.XSHE,buy,900.0,900.0,0.0,2.98,2.98,0.0,2682.0,2682.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-19,0,000929.XSHE,sell,2900.0,2900.0,0.0,7.31,7.31,0.0,-21199.0,21199.0,-42398.0,26.2,5.0,21.2,0,0,0,exact_match,none,A
2025-03-19,0,300736.XSHE,sell,200.0,200.0,0.0,10.0,10.0,0.0,-2000.0,2000.0,-4000.0,7.0,5.0,2.0,0,0,0,exact_match,none,A
2025-03-19,0,600243.XSHG,buy,7400.0,7400.0,0.0,2.98,2.98,0.0,22052.0,22052.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-19,0,600421.XSHG,buy,3600.0,3600.0,0.0,6.6,6.6,0.0,23760.0,23760.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-19,0,600753.XSHG,sell,4000.0,4000.0,0.0,5.8,5.8,0.0,-23200.0,23200.0,-46400.0,28.2,5.0,23.2,0,0,0,exact_match,none,A
2025-03-19,0,600768.XSHG,sell,100.0,100.0,0.0,9.95,9.95,0.0,-995.0,994.9999999999999,-1990.0,6.0,5.0,1.0,0,0,0,exact_match,none,A
2025-03-19,0,605081.XSHG,sell,100.0,100.0,0.0,10.85,10.85,0.0,-1085.0,1085.0,-2170.0,6.08,5.0,1.08,0,0,0,exact_match,none,A
2025-03-24,0,000691.XSHE,sell,200.0,200.0,0.0,2.94,2.94,0.0,-588.0,588.0,-1176.0,5.59,5.0,0.5899999999999999,0,0,0,exact_match,none,A
2025-03-24,0,000929.XSHE,sell,3100.0,3100.0,0.0,7.2,7.2,0.0,-22320.0,22320.0,-44640.0,27.32,5.0,22.32,0,0,0,exact_match,none,A
2025-03-24,0,002848.XSHE,buy,100.0,0,100.0,6.73,0,6.73,673.0,0,673.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2025-03-24,0,002856.XSHE,buy,100.0,100.0,0.0,9.24,9.24,0.0,924.0,924.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-24,0,300736.XSHE,buy,400.0,400.0,0.0,9.37,9.37,0.0,3748.0,3747.9999999999995,4.547473508864641e-13,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-24,0,600243.XSHG,sell,0.0,0,0.0,nan,0,nan,0.0,0,0.0,0.0,0,0.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
