date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2026-06-04,0,600493.XSHG,sell,0,100.0,-100.0,0,6.33,-6.33,0,633.0,-633.0,0,5.0,-5.0,0,0,0,missing_in_jq,cascade_after_first_divergence,B
2026-06-04,0,600697.XSHG,sell,100.0,100.0,0.0,11.25,11.25,0.0,-1125.0,1125.0,-2250.0,6.12,5.0,1.12,0,0,0,exact_match,none,A
2026-06-04,0,603879.XSHG,sell,300.0,300.0,0.0,5.0,5.0,0.0,-1500.0,1500.0,-3000.0,6.5,5.0,1.5,0,0,0,exact_match,none,A
2026-06-09,0,301098.XSHE,buy,100.0,100.0,0.0,8.26,8.26,0.0,826.0,826.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-09,1,301098.XSHE,buy,100.0,100.0,0.0,8.26,8.26,0.0,826.0,826.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-09,0,600493.XSHG,sell,200.0,100.0,100.0,6.19,6.19,0.0,-1238.0,619.0,-1857.0,6.24,5.0,1.2400000000000002,0,0,0,exact_match,none,A
2026-06-09,0,600697.XSHG,sell,1600.0,1600.0,0.0,11.1,11.1,0.0,-17760.0,17760.0,-35520.0,22.76,5.0,17.76,0,0,0,exact_match,none,A
2026-06-09,0,603879.XSHG,buy,3600.0,3500.0,100.0,4.8,4.8,0.0,17280.0,16800.0,480.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-12,0,300405.XSHE,buy,2700.0,2700.0,0.0,6.01,6.01,0.0,16227.0,16227.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-12,0,300417.XSHE,buy,300.0,300.0,0.0,11.52,11.52,0.0,3456.0,3456.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-12,0,300605.XSHE,buy,1600.0,1500.0,100.0,10.36,10.36,0.0,16576.0,15540.0,1036.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-12,0,301098.XSHE,sell,2200.0,2200.0,0.0,8.74,8.74,0.0,-19228.0,19228.0,-38456.0,24.23,5.0,19.23,0,0,0,exact_match,none,A
2026-06-12,0,600493.XSHG,buy,100.0,100.0,0.0,6.04,6.04,0.0,604.0,604.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-12,0,600697.XSHG,sell,1500.0,1500.0,0.0,10.76,10.76,0.0,-16140.0,16140.0,-32280.0,21.14,5.0,16.14,0,0,0,exact_match,none,A
2026-06-12,0,603879.XSHG,sell,100.0,0,100.0,4.8,0,4.8,-480.0,0,-480.0,5.48,0,5.48,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,0,300405.XSHE,buy,2700.0,0,2700.0,6.0,0,6.0,16200.0,0,16200.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,0,300417.XSHE,buy,1300.0,0,1300.0,11.44,0,11.44,14872.0,0,14872.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,1,300417.XSHE,buy,100.0,0,100.0,11.44,0,11.44,1144.0,0,1144.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,0,300605.XSHE,sell,1600.0,0,1600.0,10.46,0,10.46,-16736.0,0,-16736.0,21.74,0,21.74,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,0,300886.XSHE,buy,700.0,0,700.0,22.26,0,22.26,15582.0,0,15582.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,0,301098.XSHE,sell,1800.0,0,1800.0,8.21,0,8.21,-14778.0,0,-14778.0,19.78,0,19.78,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-17,0,603879.XSHG,sell,3700.0,0,3700.0,4.79,0,4.79,-17723.0,0,-17723.0,22.72,0,22.72,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,300405.XSHE,buy,700.0,0,700.0,5.78,0,5.78,4046.0,0,4046.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,1,300405.XSHE,buy,2300.0,0,2300.0,5.78,0,5.78,13294.0,0,13294.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,300417.XSHE,buy,100.0,0,100.0,11.11,0,11.11,1111.0,0,1111.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,300535.XSHE,sell,100.0,0,100.0,14.82,0,14.82,-1482.0,0,-1482.0,6.48,0,6.48,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,300605.XSHE,sell,1600.0,0,1600.0,10.35,0,10.35,-16560.0,0,-16560.0,21.56,0,21.56,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,300886.XSHE,buy,100.0,0,100.0,21.69,0,21.69,2169.0,0,2169.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,300929.XSHE,sell,200.0,0,200.0,11.3,0,11.3,-2260.0,0,-2260.0,7.26,0,7.26,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,301098.XSHE,sell,200.0,0,200.0,8.82,0,8.82,-1764.0,0,-1764.0,6.76,0,6.76,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,600493.XSHG,buy,200.0,0,200.0,5.76,0,5.76,1152.0,0,1152.0,5.0,0,5.0,0,0,0,missing_in_local,cascade_after_first_divergence,B
2026-06-23,0,603879.XSHG,sell,3300.0,0,3300.0,4.61,0,4.61,-15213.0,0,-15213.0,20.21,0,20.21,0,0,0,missing_in_local,cascade_after_first_divergence,B
