date,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,jq_tax,local_tax,match_status,diff_reason
2020-07-23,002473.XSHE,buy,100,100,0,8.51,8.51,0.0,851.0,851.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-23,002633.XSHE,sell,400,400,0,8.59,8.59,0.0,3436.0,3436.0,0.0,8.44,5.0,0,3.44,exact_match,unknown
2020-07-23,300029.XSHE,sell,200,100,-100,5.94,5.94,0.0,1188.0,594.0,-594.0,6.19,5.0,0,0.59,quantity_diff,unknown
2020-07-23,300156.XSHE,sell,104500,104500,0,0.15,0.15,0.0,15675.0,15675.0,0.0,20.68,5.0,0,15.68,exact_match,unknown
2020-07-23,300405.XSHE,sell,900,600,-300,6.51,6.51,0.0,5859.0,3906.0,-1953.0,10.86,5.0,0,3.91,quantity_diff,unknown
2020-07-23,300736.XSHE,buy,2000,2000,0,10.26,10.26,0.0,20520.0,20520.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-23,600561.XSHG,sell,5200,5100,-100,5.15,5.15,0.0,26780.0,26265.0,-515.0,31.78,5.0,0,26.27,quantity_diff,unknown
2020-07-23,600768.XSHG,buy,500,200,-300,10.42,10.42,0.0,5210.0,2084.0,-3126.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-28,000502.XSHE,sell,200,200,0,7.02,7.02,0.0,1404.0,1404.0,0.0,6.4,5.0,0,1.4,exact_match,unknown
2020-07-28,000929.XSHE,buy,300,200,-100,6.72,6.72,0.0,2016.0,1344.0,-672.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-28,002633.XSHE,buy,0,100,100,,8.26,,0.0,826.0,826.0,0.0,5.0,0,0.0,missing_in_jq,unknown
2020-07-28,300029.XSHE,sell,2000,2000,0,6.37,6.37,0.0,12740.0,12740.0,0.0,17.74,5.0,0,12.74,exact_match,unknown
2020-07-28,300312.XSHE,buy,100,100,0,4.28,4.28,0.0,428.0,428.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-28,300405.XSHE,sell,4000,4000,0,6.38,6.38,0.0,25520.0,25520.0,0.0,30.52,5.0,0,25.52,exact_match,unknown
2020-07-28,300535.XSHE,buy,700,700,0,12.58,12.58,0.0,8806.0,8806.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
