date,jq_total_asset,jq_cash,jq_position_value,jq_position_count,is_truncated,local_total_asset,asset_diff,asset_diff_pct,cash_diff,position_value_diff,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status
2020-04-03,1101741.09,3620.59,1098120.5,1.0,False,1101707.35,-33.73999999999069,-0.0031,,,,0.00025729540278596197,0.00025730328453477114,7.881748809168698e-09,10.166474463319686,10.163100697121696,-0.0033737661979902356,small_diff
2020-04-07,1101751.99,3620.59,1098131.4,1.0,False,1101718.25,-33.73999999999069,-0.0031,,,,9.893431495600069e-06,9.893734483901184e-06,3.0298830111519237e-10,10.16756438778792,10.164190621589908,-0.003373766198011552,small_diff
2020-04-08,1101839.19,3620.59,1098218.6,1.0,False,1101805.4500000002,-33.739999999757856,-0.0031,,,,7.91466689340492e-05,7.914909279227444e-05,2.4238582252422702e-09,10.17628378353379,10.172910017335802,-0.0033737661979884592,small_diff
2020-04-09,1101915.49,3620.59,1098294.9,1.0,False,1101881.75,-33.73999999999069,-0.0031,,,,6.924785458028992e-05,6.924997512025577e-05,2.1205399658441593e-09,10.183913254811428,10.180539488613437,-0.0033737661979902356,small_diff
2020-04-10,1102133.49,3620.59,1098512.9,1.0,False,1102099.7500000002,-33.739999999757856,-0.0031,,,,0.00019783731327716048,0.0001978433711242733,6.057847112828085e-09,10.205711744176128,10.202337977978138,-0.0033737661979902356,small_diff
2020-04-13,1102187.99,3620.59,1098567.4,1.0,False,1102154.25,-33.73999999999069,-0.0031,,,,4.944954535401891e-05,4.945105921660975e-05,1.5138625908406311e-09,10.211161366517295,10.207787600319286,-0.0033737661980097755,small_diff
2020-04-14,1102209.79,3620.59,1098589.2,1.0,False,1102176.05,-33.73999999999069,-0.0031,,,,1.9778840087081306e-05,1.9779445572298826e-05,6.054852175196856e-10,10.213341215453763,10.209967449255775,-0.0033737661979884592,small_diff
2020-04-15,1102198.89,3620.59,1098578.3,1.0,False,1102165.15,-33.73999999999069,-0.0031,,,,-9.889224446224532e-06,-9.889527176842883e-06,-3.0273061835117687e-10,10.212251290985531,10.208877524787518,-0.0033737661980133282,small_diff
2020-04-16,1102242.49,3620.59,1098621.9,1.0,False,1102208.75,-33.73999999999069,-0.0031,,,,3.955728897531152e-05,3.9558499921765744e-05,1.2109464542220394e-09,10.216610988858466,10.213237222660453,-0.0033737661980133282,small_diff
2020-04-17,1102242.49,3620.59,1098621.9,1.0,False,1102208.75,-33.73999999999069,-0.0031,,,,0.0,0.0,0.0,10.216610988858466,10.213237222660453,-0.0033737661980133282,small_diff
