code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
300736.XSHE,2025-08-20,2025-11-12,100,12.160000,17.320000,516.000000,0.424342,84
300736.XSHE,2025-09-05,2025-11-12,200,12.350000,17.320000,994.000000,0.402429,68
300736.XSHE,2025-09-15,2025-11-12,100,12.530000,17.320000,479.000000,0.382283,58
300736.XSHE,2025-10-17,2025-11-12,300,13.020000,17.320000,1290.000000,0.330261,26
300736.XSHE,2025-10-17,2025-11-12,1000,13.020000,17.320000,4300.000000,0.330261,26
002193.XSHE,2025-05-06,2025-11-12,300,5.160000,6.150000,297.000000,0.191860,190
002719.XSHE,2025-07-01,2025-11-12,400,9.060000,10.130000,428.000000,0.118102,134
300163.XSHE,2025-08-15,2025-11-12,1000,3.220000,4.820000,1600.000000,0.496894,89
300163.XSHE,2025-09-05,2025-11-12,400,3.400000,4.820000,568.000000,0.417647,68
300163.XSHE,2025-09-23,2025-11-12,4300,3.440000,4.820000,5934.000000,0.401163,50
300385.XSHE,2025-10-14,2025-11-12,400,5.290000,6.460000,468.000000,0.221172,29
300405.XSHE,2025-10-30,2025-11-12,300,6.380000,7.010000,189.000000,0.098746,13
300736.XSHE,2025-10-17,2025-11-17,900,13.020000,19.000000,5382.000000,0.459293,31
300736.XSHE,2025-10-22,2025-11-17,1100,12.990000,19.000000,6611.000000,0.462664,26
002193.XSHE,2025-05-06,2025-11-17,200,5.160000,6.440000,256.000000,0.248062,195
002193.XSHE,2025-05-09,2025-11-17,200,5.600000,6.440000,168.000000,0.150000,192
300163.XSHE,2025-09-23,2025-11-17,3600,3.440000,4.990000,5580.000000,0.450581,55
300163.XSHE,2025-09-26,2025-11-17,1300,3.320000,4.990000,2171.000000,0.503012,52
300163.XSHE,2025-10-14,2025-11-17,1700,3.600000,4.990000,2363.000000,0.386111,34
300163.XSHE,2025-10-17,2025-11-17,100,3.510000,4.990000,148.000000,0.421652,31
300405.XSHE,2025-10-30,2025-11-17,200,6.380000,7.370000,198.000000,0.155172,18
300736.XSHE,2025-10-22,2025-11-20,100,12.990000,19.600000,661.000000,0.508853,29
300385.XSHE,2025-10-14,2025-11-20,4800,5.290000,6.840000,7440.000000,0.293006,37
300385.XSHE,2025-10-30,2025-11-20,100,5.400000,6.840000,144.000000,0.266667,21
