date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2025-04-01,300665.XSHE,sell,6.49,6.49,0.0,0,2700,2700,0.0,17523.0,17523.0,22.52,5.0,-17.52,amount_diff,fill quantity difference
2025-04-01,300736.XSHE,sell,8.59,8.59,0.0,0,11800,11800,0.0,101362.0,101362.0,111.5,10.14,-101.36,amount_diff,fill quantity difference
2025-04-01,300929.XSHE,sell,8.41,8.41,0.0,0,12200,12200,0.0,102602.0,102602.0,112.86,10.26,-102.6,amount_diff,fill quantity difference
2025-04-01,511880.XSHG,buy,100.383,100.383,0.0,9000,9000,0,903447.0,903447.0,0.0,0.0,0.0,0.0,exact_match,
2025-04-01,600243.XSHG,sell,2.61,2.61,0.0,0,22400,22400,0.0,58464.0,58464.0,64.31,5.85,-58.46,amount_diff,fill quantity difference
2025-04-01,600421.XSHG,sell,6.7,6.7,0.0,0,8400,8400,0.0,56280.0,56280.0,61.91,5.63,-56.279999999999994,amount_diff,fill quantity difference
2025-04-01,600753.XSHG,sell,5.2,5.2,0.0,0,11100,11100,0.0,57720.0,57720.0,63.49,5.77,-57.72,amount_diff,fill quantity difference
2025-04-01,600768.XSHG,sell,9.08,9.08,0.0,0,9100,9100,0.0,82628.0,82628.0,90.89,8.26,-82.63,amount_diff,fill quantity difference
2025-05-06,002193.XSHE,buy,5.16,5.16,0.0,3900,3900,0,20124.0,20124.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,002719.XSHE,buy,8.0,8.0,0.0,2500,2500,0,20000.0,20000.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,300405.XSHE,buy,4.89,4.89,0.0,4100,4100,0,20049.0,20049.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,300635.XSHE,buy,9.73,9.73,0.0,2000,2000,0,19460.0,19460.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,300665.XSHE,buy,7.27,7.27,0.0,2800,2800,0,20356.0,20356.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,300736.XSHE,buy,9.44,9.44,0.0,2100,2100,0,19824.0,19824.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,300929.XSHE,buy,9.28,9.28,0.0,2200,2200,0,20416.0,20416.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,300948.XSHE,buy,9.6,9.6,0.0,2100,2100,0,20160.0,20160.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,301372.XSHE,buy,19.22,19.22,0.0,1000,1000,0,19220.0,19220.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,511880.XSHG,sell,100.486,100.486,0.0,0,9000,9000,0.0,904374.0,904374.0,0.0,0.0,0.0,amount_diff,fill quantity difference
2025-05-06,600768.XSHG,buy,10.24,10.24,0.0,1900,1900,0,19456.0,19456.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-06,605081.XSHG,sell,11.3,11.3,0.0,0,9800,9800,0.0,110740.0,110740.0,121.81,11.07,-110.74000000000001,amount_diff,fill quantity difference
2025-05-09,002193.XSHE,buy,5.6,5.6,0.0,3400,3400,0,19040.0,19040.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-09,002719.XSHE,sell,8.62,8.62,0.0,0,100,100,0.0,861.9999999999999,861.9999999999999,5.86,5.0,-0.8600000000000003,amount_diff,fill quantity difference
2025-05-09,300405.XSHE,buy,5.16,5.16,0.0,3800,3800,0,19608.0,19608.0,0.0,5.0,5.0,0.0,exact_match,
2025-05-09,300635.XSHE,buy,10.16,10.16,0.0,2000,2000,0,20320.0,20320.0,0.0,5.0,5.0,0.0,exact_match,
