date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2026-06-04,603879.XSHG,sell,5.0,,,300,0,-300,1500.0,,,,,,missing_in_local,limit down
2026-06-04,300605.XSHE,buy,10.83,,,1600,0,-1600,17328.0,,,,,,missing_in_local,not found in local
2026-06-09,301098.XSHE,buy,8.26,,,100,0,-100,826.0,,,,,,missing_in_local,limit down
2026-06-09,600697.XSHG,sell,11.1,,,1600,0,-1600,17760.0,,,,,,missing_in_local,limit down
2026-06-09,600493.XSHG,sell,6.19,,,200,0,-200,1238.0,,,,,,missing_in_local,limit down
2026-06-09,603879.XSHG,buy,4.8,,,3600,0,-3600,17280.0,,,,,,missing_in_local,limit down
2026-06-09,301098.XSHE,buy,8.26,,,100,0,-100,826.0,,,,,,missing_in_local,limit down
2026-06-12,301098.XSHE,sell,8.74,,,2200,0,-2200,19228.0,,,,,,missing_in_local,limit down
2026-06-12,300417.XSHE,buy,11.52,,,300,0,-300,3456.0,,,,,,missing_in_local,limit down
2026-06-12,300405.XSHE,buy,6.01,,,2700,0,-2700,16227.0,,,,,,missing_in_local,limit down
2026-06-12,600697.XSHG,sell,10.76,,,1500,0,-1500,16140.0,,,,,,missing_in_local,limit down
2026-06-12,600493.XSHG,buy,6.04,,,100,0,-100,604.0,,,,,,missing_in_local,limit down
2026-06-12,603879.XSHG,sell,4.8,,,100,0,-100,480.0,,,,,,missing_in_local,limit down
2026-06-12,300605.XSHE,buy,10.36,,,1600,0,-1600,16576.0,,,,,,missing_in_local,not found in local
2026-06-17,301098.XSHE,sell,8.21,,,1800,0,-1800,14778.000000000002,,,,,,missing_in_local,limit down
2026-06-17,300417.XSHE,buy,11.44,,,1300,0,-1300,14872.0,,,,,,missing_in_local,limit down
2026-06-17,603879.XSHG,sell,4.79,,,3700,0,-3700,17723.0,,,,,,missing_in_local,limit down
2026-06-17,300605.XSHE,sell,10.46,,,1600,0,-1600,16736.0,,,,,,missing_in_local,not found in local
2026-06-17,300886.XSHE,buy,22.26,,,700,0,-700,15582.000000000002,,,,,,missing_in_local,not found in local
2026-06-17,300417.XSHE,buy,11.44,,,100,0,-100,1144.0,,,,,,missing_in_local,limit down
2026-06-17,300405.XSHE,buy,6.0,,,2700,0,-2700,16200.0,,,,,,missing_in_local,limit down
2026-06-23,301098.XSHE,sell,8.82,,,200,0,-200,1764.0,,,,,,missing_in_local,limit down
2026-06-23,300929.XSHE,sell,11.3,,,200,0,-200,2260.0,,,,,,missing_in_local,limit down
2026-06-23,300417.XSHE,buy,11.11,,,100,0,-100,1111.0,,,,,,missing_in_local,limit down
2026-06-23,300405.XSHE,buy,5.78,,,700,0,-700,4046.0,,,,,,missing_in_local,limit down
2026-06-23,300535.XSHE,sell,14.82,,,100,0,-100,1482.0,,,,,,missing_in_local,limit down
2026-06-23,603879.XSHG,sell,4.61,,,3300,0,-3300,15213.000000000002,,,,,,missing_in_local,limit down
2026-06-23,300605.XSHE,sell,10.35,,,1600,0,-1600,16560.0,,,,,,missing_in_local,not found in local
2026-06-23,300886.XSHE,buy,21.69,,,100,0,-100,2169.0,,,,,,missing_in_local,not found in local
2026-06-23,600493.XSHG,buy,5.76,,,200,0,-200,1152.0,,,,,,missing_in_local,limit down
2026-06-23,300405.XSHE,buy,5.78,,,2300,0,-2300,13294.0,,,,,,missing_in_local,limit down
2026-06-23,600697.XSHG,buy,10.32,,,1500,0,-1500,15480.0,,,,,,missing_in_local,limit down
